activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
44000-P112759,co2_emission_reductions,tonnes_co2e,True,True,True,60000000.0,12000000.0,,,7.079181246047625,,,5.0,,,0.6989700043360189,,,10.0,,,1.0,,,
XM-DAC-41114-PROJECT-00096757,co2_emission_reductions,tonnes_co2e,True,True,False,,17503045.0,,,7.243113609352558,,,,,,,,,,,,,,,
44000-P156208,co2_emission_reductions,tonnes_co2e,True,True,True,141390336.0,1076000.0,,,6.03181227133037,,,131.40365799256506,,,2.1186074552075778,,,131.40365799256506,,,2.1186074552075778,,,
44000-P095012,co2_emission_reductions,tonnes_co2e,True,True,True,20705633.0,400.0,5000.0,3400.0,2.6020599913279625,3.6989700043360187,3.531478917042255,51764.0825,4141.1266,6089.89205882353,4.7140285206997525,3.6171185076916963,3.78460959498546,51764.0825,4141.1266,6089.89205882353,4.7140285206997525,3.6171185076916963,3.78460959498546,0.11764705882352941
GB-1-203161,co2_emission_reductions,tonnes_co2e,True,True,False,,500000.0,,,5.698970004336019,,,,,,,,,,,,,,,
GB-1-204764,co2_emission_reductions,tonnes_co2e,True,True,False,,480000000.0,200000000.0,480000000.0,8.681241237375588,8.301029995663981,8.681241237375588,,,,,,,,,,,,,1.0
XM-DAC-41114-PROJECT-00091297,co2_emission_reductions,tonnes_co2e,True,True,False,,2.82,2.61,2.82,0.45024910831936105,0.41664050733828095,0.45024910831936105,,,,,,,,,,,,,1.0
XM-DAC-41114-PROJECT-00096984,co2_emission_reductions,tonnes_co2e,True,True,False,,1227442.0,0.0,,6.089000979674788,,,,,,,,,,,,,,,
44000-P078707,co2_emission_reductions,tonnes_co2e,True,True,True,14658111.0,4140000.0,,,6.617000341120899,,,3.5406065217391305,,,0.5490776649866907,,,3.5406065217391305,,,0.5490776649866907,,,
44000-P146344,co2_emission_reductions,tonnes_co2e,True,True,True,98207281.0,290750.0,,,5.463519723400486,,,337.77224763542563,,,2.528623963784654,,,337.77224763542563,,,2.528623963784654,,,
GB-GOV-1-300123,co2_emission_reductions,tonnes_co2e,True,True,False,,12.0,,,1.0791812460476249,,,,,,,,,,,,,,,
